+----+-------------------+---------+---------------------+--------------+--------+---------------+-------------+---------------------+-------------------+
|    |   discount_factor |     fcf |   workforce_expense |   net_income |   year |   growth_rate |   pv_income |   net_present_value |   price_per_token |
|----+-------------------+---------+---------------------+--------------+--------+---------------+-------------+---------------------+-------------------|
|  0 |             1     |  24.929 |               4.986 |       19.943 |   2022 |          0    |      19.943 |             115.011 |             8.298 |
|  1 |             0.8   |  26.175 |               5.235 |       20.94  |   2023 |          0.05 |      16.752 |             115.011 |             8.298 |
|  2 |             0.64  |  27.484 |               5.497 |       21.987 |   2024 |          0.05 |      14.072 |             115.011 |             8.298 |
|  3 |             0.512 |  28.858 |               5.772 |       23.087 |   2025 |          0.05 |      11.82  |             115.011 |             8.298 |
|  4 |             0.41  |  30.301 |               6.06  |       24.241 |   2026 |          0.05 |       9.929 |             115.011 |             8.298 |
|  5 |             0.328 |  31.816 |               6.363 |       25.453 |   2027 |          0.05 |       8.34  |             115.011 |             8.298 |
|  6 |             0.262 | 130.284 |               0     |      130.284 |      0 |          0    |      34.153 |             115.011 |             8.298 |
+----+-------------------+---------+---------------------+--------------+--------+---------------+-------------+---------------------+-------------------+
fcf: 	24.93 && 26.18 && 27.48 && 28.86 && 30.3 && 31.82 && 130.28
workforce_expense: 	4.99 && 5.24 && 5.5 && 5.77 && 6.06 && 6.36 && 0.0
net_income: 	19.94 && 20.94 && 21.99 && 23.09 && 24.24 && 25.45 && 130.28
pv_income: 	19.94 && 16.75 && 14.07 && 11.82 && 9.93 && 8.34 && 34.15
net_present_value: 	115.011
price_per_token: 	8.298
