+----+-------------------+----------+---------------------+--------------+--------+---------------+-------------+---------------------+-------------------+
|    |   discount_factor |      fcf |   workforce_expense |   net_income |   year |   growth_rate |   pv_income |   net_present_value |   price_per_token |
|----+-------------------+----------+---------------------+--------------+--------+---------------+-------------+---------------------+-------------------|
|  0 |             1     |  5894    |             1768.2  |      4125.8  |   2022 |          0    |     4125.8  |             83620.4 |           553.902 |
|  1 |             0.905 |  6188.7  |             1856.61 |      4332.09 |   2023 |          0.05 |     3921.81 |             83620.4 |           553.902 |
|  2 |             0.82  |  6498.14 |             1949.44 |      4548.69 |   2024 |          0.05 |     3727.91 |             83620.4 |           553.902 |
|  3 |             0.742 |  6823.04 |             2046.91 |      4776.13 |   2025 |          0.05 |     3543.59 |             83620.4 |           553.902 |
|  4 |             0.672 |  7164.19 |             2149.26 |      5014.94 |   2026 |          0.05 |     3368.39 |             83620.4 |           553.902 |
|  5 |             0.608 |  7522.4  |             2256.72 |      5265.68 |   2027 |          0.05 |     3201.84 |             83620.4 |           553.902 |
|  6 |             0.838 | 73624.2  |                0    |     73624.2  |      0 |          0    |    61731    |             83620.4 |           553.902 |
+----+-------------------+----------+---------------------+--------------+--------+---------------+-------------+---------------------+-------------------+
fcf: 	5894.0 && 6188.7 && 6498.14 && 6823.04 && 7164.19 && 7522.4 && 73624.24
workforce_expense: 	1768.2 && 1856.61 && 1949.44 && 2046.91 && 2149.26 && 2256.72 && 0.0
net_income: 	4125.8 && 4332.09 && 4548.7 && 4776.13 && 5014.94 && 5265.68 && 73624.24
pv_income: 	4125.8 && 3921.81 && 3727.91 && 3543.59 && 3368.39 && 3201.84 && 61731.03
net_present_value: 	83620.365
price_per_token: 	553.902
