+----+-------------------+-------+---------------------+--------------+--------+---------------+-------------+---------------------+-------------------+
|    |   discount_factor |   fcf |   workforce_expense |   net_income |   year |   growth_rate |   pv_income |   net_present_value |   price_per_token |
|----+-------------------+-------+---------------------+--------------+--------+---------------+-------------+---------------------+-------------------|
|  0 |             1     | 0.246 |               0.049 |        0.197 |   2022 |          0    |       0.197 |               1.129 |             0.425 |
|  1 |             0.8   | 0.258 |               0.052 |        0.207 |   2023 |          0.05 |       0.165 |               1.129 |             0.425 |
|  2 |             0.64  | 0.271 |               0.054 |        0.217 |   2024 |          0.05 |       0.139 |               1.129 |             0.425 |
|  3 |             0.512 | 0.285 |               0.057 |        0.228 |   2025 |          0.05 |       0.117 |               1.129 |             0.425 |
|  4 |             0.41  | 0.299 |               0.06  |        0.239 |   2026 |          0.05 |       0.098 |               1.129 |             0.425 |
|  5 |             0.328 | 0.314 |               0.063 |        0.251 |   2027 |          0.05 |       0.082 |               1.129 |             0.425 |
|  6 |             0.262 | 1.262 |               0     |        1.262 |      0 |          0    |       0.331 |               1.129 |             0.425 |
+----+-------------------+-------+---------------------+--------------+--------+---------------+-------------+---------------------+-------------------+
fcf: 	0.25 && 0.26 && 0.27 && 0.28 && 0.3 && 0.31 && 1.26
workforce_expense: 	0.05 && 0.05 && 0.05 && 0.06 && 0.06 && 0.06 && 0.0
net_income: 	0.2 && 0.21 && 0.22 && 0.23 && 0.24 && 0.25 && 1.26
pv_income: 	0.2 && 0.16 && 0.14 && 0.12 && 0.1 && 0.08 && 0.33
net_present_value: 	1.129
price_per_token: 	0.425
