+----+-------------------+-----------+---------------------+--------------+--------+---------------+-------------+---------------------+-------------------+
|    |   discount_factor |       fcf |   workforce_expense |   net_income |   year |   growth_rate |   pv_income |   net_present_value |   price_per_token |
|----+-------------------+-----------+---------------------+--------------+--------+---------------+-------------+---------------------+-------------------|
|  0 |             1     |   870.2   |             261.06  |      609.14  |   2022 |          0    |     609.14  |              9207.9 |            86.712 |
|  1 |             0.905 |   913.71  |             274.113 |      639.597 |   2023 |          0.05 |     578.982 |              9207.9 |            86.712 |
|  2 |             0.819 |   959.396 |             287.819 |      671.577 |   2024 |          0.05 |     550.317 |              9207.9 |            86.712 |
|  3 |             0.742 |  1007.37  |             302.21  |      705.156 |   2025 |          0.05 |     523.071 |              9207.9 |            86.712 |
|  4 |             0.671 |  1057.73  |             317.32  |      740.413 |   2026 |          0.05 |     497.174 |              9207.9 |            86.712 |
|  5 |             0.608 |  1110.62  |             333.186 |      777.434 |   2027 |          0.05 |     472.56  |              9207.9 |            86.712 |
|  6 |             0.55  | 10861.9   |               0     |    10861.9   |      0 |          0    |    5976.65  |              9207.9 |            86.712 |
+----+-------------------+-----------+---------------------+--------------+--------+---------------+-------------+---------------------+-------------------+
fcf: 	870.2 && 913.71 && 959.4 && 1007.36 && 1057.73 && 1110.62 && 10861.92
workforce_expense: 	261.06 && 274.11 && 287.82 && 302.21 && 317.32 && 333.19 && 0.0
net_income: 	609.14 && 639.6 && 671.58 && 705.16 && 740.41 && 777.43 && 10861.92
pv_income: 	609.14 && 578.98 && 550.32 && 523.07 && 497.17 && 472.56 && 5976.65
net_present_value: 	9207.895
price_per_token: 	86.712
