+----+-------------------+---------+---------------------+--------------+--------+---------------+-------------+---------------------+-------------------+
|    |   discount_factor |     fcf |   workforce_expense |   net_income |   year |   growth_rate |   pv_income |   net_present_value |   price_per_token |
|----+-------------------+---------+---------------------+--------------+--------+---------------+-------------+---------------------+-------------------|
|  0 |             1     |  41.871 |               8.374 |       33.497 |   2022 |          0    |      33.497 |             186.562 |           5902.42 |
|  1 |             0.8   |  43.965 |               8.793 |       35.172 |   2023 |          0.05 |      28.138 |             186.562 |           5902.42 |
|  2 |             0.64  |  46.163 |               9.233 |       36.931 |   2024 |          0.05 |      23.636 |             186.562 |           5902.42 |
|  3 |             0.512 |  48.471 |               9.694 |       38.777 |   2025 |          0.05 |      19.854 |             186.562 |           5902.42 |
|  4 |             0.41  |  50.895 |              10.179 |       40.716 |   2026 |          0.05 |      16.677 |             186.562 |           5902.42 |
|  5 |             0.328 |  53.44  |              10.688 |       42.752 |   2027 |          0.05 |      14.009 |             186.562 |           5902.42 |
|  6 |             0.262 | 193.602 |               0     |      193.602 |      0 |          0    |      50.752 |             186.562 |           5902.42 |
+----+-------------------+---------+---------------------+--------------+--------+---------------+-------------+---------------------+-------------------+
fcf: 	41.87 && 43.96 && 46.16 && 48.47 && 50.9 && 53.44 && 193.6
workforce_expense: 	8.37 && 8.79 && 9.23 && 9.69 && 10.18 && 10.69 && 0.0
net_income: 	33.5 && 35.17 && 36.93 && 38.78 && 40.72 && 42.75 && 193.6
pv_income: 	33.5 && 28.14 && 23.64 && 19.85 && 16.68 && 14.01 && 50.75
net_present_value: 	186.562
price_per_token: 	5902.42
