+----+-------------------+----------+---------------------+--------------+--------+---------------+-------------+---------------------+-------------------+
|    |   discount_factor |      fcf |   workforce_expense |   net_income |   year |   growth_rate |   pv_income |   net_present_value |   price_per_token |
|----+-------------------+----------+---------------------+--------------+--------+---------------+-------------+---------------------+-------------------|
|  0 |             1     |  15814   |             4744.2  |      11069.8 |   2022 |          0    |    11069.8  |              248685 |           144.333 |
|  1 |             0.916 |  16604.7 |             4981.41 |      11623.3 |   2023 |          0.05 |    10644    |              248685 |           144.333 |
|  2 |             0.839 |  17434.9 |             5230.48 |      12204.5 |   2024 |          0.05 |    10234.6  |              248685 |           144.333 |
|  3 |             0.768 |  18306.7 |             5492.01 |      12814.7 |   2025 |          0.05 |     9840.95 |              248685 |           144.333 |
|  4 |             0.703 |  19222   |             5766.6  |      13455.4 |   2026 |          0.05 |     9462.44 |              248685 |           144.333 |
|  5 |             0.644 |  20183.1 |             6054.94 |      14128.2 |   2027 |          0.05 |     9098.48 |              248685 |           144.333 |
|  6 |             0.838 | 224620   |                0    |     224620   |      0 |          0    |   188335    |              248685 |           144.333 |
+----+-------------------+----------+---------------------+--------------+--------+---------------+-------------+---------------------+-------------------+
fcf: 	15814.0 && 16604.7 && 17434.94 && 18306.68 && 19222.02 && 20183.12 && 224619.79
workforce_expense: 	4744.2 && 4981.41 && 5230.48 && 5492.0 && 5766.6 && 6054.94 && 0.0
net_income: 	11069.8 && 11623.29 && 12204.45 && 12814.68 && 13455.41 && 14128.18 && 224619.79
pv_income: 	11069.8 && 10644.02 && 10234.61 && 9840.96 && 9462.44 && 9098.48 && 188334.85
net_present_value: 	248685.161
price_per_token: 	144.333
