prices,market_caps,total_volumes,date
14.826944209191103,4262672055.7619066,1988424279.4460337,2021-01-28 01:00:00
14.161866549890156,4050510658.044183,1550504012.752839,2021-01-29 01:00:00
15.645275352345399,4457719714.651553,1616973238.7223942,2021-01-30 01:00:00
19.390026684593842,5526735076.374684,2031907840.7746058,2021-01-31 01:00:00
17.638787124819952,5088183581.45538,1777734968.623929,2021-02-01 01:00:00
20.358868956868168,5871493276.726128,1894362308.1348546,2021-02-02 01:00:00
19.072254090511567,5508085635.714836,1417633194.841543,2021-02-03 01:00:00
19.826955201427335,5686308871.089227,1207216842.8498006,2021-02-04 01:00:00
20.046299963873743,5769499937.505494,1359131427.8960867,2021-02-05 01:00:00
21.24196805398914,6321799769.83289,1315724521.5155115,2021-02-06 01:00:00
19.32316884434958,5766938732.57773,1124689339.6259599,2021-02-07 01:00:00
18.582838493435663,5535603356.336959,1135550184.047655,2021-02-08 01:00:00
19.358305970959584,5744354009.214107,1141451176.4957368,2021-02-09 01:00:00
19.513946965897038,5848771610.388897,893395008.2443836,2021-02-10 01:00:00
20.60618481654805,6189233659.319318,1565478791.2300613,2021-02-11 01:00:00
21.473246483515222,6429248007.496799,1010745029.005973,2021-02-12 01:00:00
22.70225567259063,6815508552.601418,1369634694.918432,2021-02-13 01:00:00
21.772030093739797,6540139184.216119,1039214054.5710523,2021-02-14 01:00:00
20.951094824035277,6278943841.250568,836712393.2404209,2021-02-15 01:00:00
19.986754437788473,5982610726.858003,1335067502.9401636,2021-02-16 01:00:00
20.433062816515477,6110386492.831019,950433946.5471517,2021-02-17 01:00:00
21.46977238015718,6427499907.742221,943695978.233675,2021-02-18 01:00:00
21.197035107007075,6335641981.136545,893915503.2540938,2021-02-19 01:00:00
20.16573557832418,6006310925.07141,1020159160.0554446,2021-02-20 01:00:00
28.950034318073403,8538609828.004031,4724011321.893948,2021-02-21 01:00:00
28.99642072286137,8684028167.072233,2784044933.1259685,2021-02-22 01:00:00
27.76431862935422,8280636144.036506,2673881785.2123346,2021-02-23 01:00:00
24.6815553864407,7329621210.892453,3163004782.431511,2021-02-24 01:00:00
25.369173807347188,7586409970.831615,1920254182.885666,2021-02-25 01:00:00
23.253500070929256,7007917770.101435,1468489900.049544,2021-02-26 01:00:00
23.134226150290118,7166061055.355288,1555077298.4778,2021-02-27 01:00:00
23.618194960234987,7245382879.302461,936927724.3313073,2021-02-28 01:00:00
22.159001101083888,6884169920.451811,1089343433.9333875,2021-03-01 01:00:00
25.59269877101533,7871644853.559921,1008174261.7990565,2021-03-02 01:00:00
25.67386785155362,7938770686.177972,1396400772.2835116,2021-03-03 01:00:00
25.486634117740195,7933740066.481902,925993783.7850428,2021-03-04 01:00:00
28.36821522662155,8803390260.277868,2022857205.0127583,2021-03-05 01:00:00
28.30845896105933,8703821762.736952,1404842922.8853452,2021-03-06 01:00:00
28.445598876361355,14785796370.078287,888827927.7244853,2021-03-07 01:00:00
34.621393833045,18000871947.13093,1920823408.536654,2021-03-08 01:00:00
33.47640430849334,17463301675.334435,1612019368.2656958,2021-03-09 01:00:00
32.89108641593648,17055000313.178308,1193543527.6781414,2021-03-10 01:00:00
30.935873695471596,16120109458.45097,1063837175.2574469,2021-03-11 01:00:00
31.033955819076773,16119273801.59986,960033602.6052556,2021-03-12 01:00:00
31.04021663066435,16155326738.583248,1186072896.1438892,2021-03-13 01:00:00
32.441688716023855,16859485766.807154,1289367663.2993128,2021-03-14 01:00:00
31.037886683763894,16125156715.344048,1122780113.965998,2021-03-15 01:00:00
29.673658313051263,15449946475.733334,1155570529.171646,2021-03-16 01:00:00
29.875137275195,15471158515.32795,1050435935.9391568,2021-03-17 01:00:00
31.569448567574476,16441859239.593502,1132299457.9634585,2021-03-18 01:00:00
30.146638520374715,15673535367.824612,672286737.5289786,2021-03-19 01:00:00
33.21978583518823,17308220331.30915,1033158236.7801038,2021-03-20 01:00:00
32.17698744603948,16725882113.925303,1060350155.0867463,2021-03-21 01:00:00
32.93035554410295,17114962741.79377,716047679.7953068,2021-03-22 01:00:00
32.99523398020988,17238680313.11546,1381904225.604729,2021-03-23 01:00:00
31.092701843068866,16055382395.307783,1860453596.6625454,2021-03-24 01:00:00
27.5259305169569,14351045746.375404,1384567626.283326,2021-03-25 01:00:00
26.535513157787733,13766080139.981758,1128204980.870811,2021-03-26 01:00:00
28.97968240145328,14986439483.527382,994080902.7562132,2021-03-27 01:00:00
28.247568576614004,14681213498.574812,875673307.1945412,2021-03-28 01:00:00
27.844293459051542,14479575407.089466,689178656.9249266,2021-03-29 02:00:00
29.041643422657728,15091221585.909716,847402534.0052477,2021-03-30 02:00:00
28.54514844671771,14830155560.657837,734983623.0477979,2021-03-31 02:00:00
28.040616383225696,14611600101.943754,904458391.4378318,2021-04-01 02:00:00
28.709079158061698,14932924434.375237,1060884094.1627505,2021-04-02 02:00:00
30.075659430929772,15638764057.077736,812769149.4402751,2021-04-03 02:00:00
29.507122950273846,15421482342.437128,1265286667.7734768,2021-04-04 02:00:00
31.01591744556072,16153866456.885544,781106912.3643713,2021-04-05 02:00:00
30.73890642419465,15962072689.870068,873130951.2701776,2021-04-06 02:00:00
31.353608762428344,16309533174.93992,1030841238.110863,2021-04-07 02:00:00
28.616200276208147,14935901075.534973,1161207835.3831873,2021-04-08 02:00:00
30.201264605450547,15720242344.032288,784904383.6115807,2021-04-09 02:00:00
29.526547822825073,15391195971.55995,623441889.082578,2021-04-10 02:00:00
29.760904501950478,15457242677.44422,722036765.6834116,2021-04-11 02:00:00
29.91271945032329,15524034940.501959,764898587.5221801,2021-04-12 02:00:00
36.735779630390006,19144430314.82384,2889481177.5018616,2021-04-13 02:00:00
35.50202012840731,18342267583.03701,1708890469.5460348,2021-04-14 02:00:00
36.073858891603614,18760824233.069523,1563535908.9805756,2021-04-15 02:00:00
37.86089086963291,19664554845.7289,1766633578.7179375,2021-04-16 02:00:00
36.23721695811021,18872611505.577892,1448521982.9963844,2021-04-17 02:00:00
34.76754885144198,18166059530.99115,930619611.8500047,2021-04-18 02:00:00
31.781750820759218,16636767225.390648,1710254904.356988,2021-04-19 02:00:00
31.345466854040474,16366385637.621965,1111669225.0515075,2021-04-20 02:00:00
31.968636497777066,16645899118.888922,1182004358.9389002,2021-04-21 02:00:00
33.48270701781829,17489937901.702545,1760452654.9309895,2021-04-22 02:00:00
34.52378462366297,17979588796.227318,2422363805.0182767,2021-04-23 02:00:00
32.938608193053895,17094009322.25015,1835635217.769972,2021-04-24 02:00:00
30.04206519744188,15768347121.559797,845624016.3105899,2021-04-25 02:00:00
33.7408876721244,17504824743.220337,1296891246.483838,2021-04-26 02:00:00
37.94415718429781,19685884166.76706,1427787042.7943268,2021-04-27 02:00:00
39.3945262241258,20462310547.94931,1441551893.2984433,2021-04-28 02:00:00
42.77086929696888,22066932316.44179,2010272799.5539074,2021-04-29 02:00:00
41.28410891505423,21517770855.962162,1436741925.8732455,2021-04-30 02:00:00
40.5754054233366,20966193258.520176,1272830731.9388618,2021-05-01 02:00:00
40.08584326017409,20835088800.041653,964031038.6379355,2021-05-02 02:00:00
42.417421270916286,22067117153.79229,1323773729.3610675,2021-05-03 02:00:00
42.322693386419,22048979110.985138,1408960631.853989,2021-05-04 02:00:00
42.88409662272933,22531045773.149952,1954476083.0829344,2021-05-05 02:00:00
42.47966845388079,21999590396.306828,1720124312.493284,2021-05-06 02:00:00
40.198406510099,20962663814.783005,1396000538.6622086,2021-05-07 02:00:00
39.77171645958462,20632351275.40186,1221999973.987672,2021-05-08 02:00:00
40.42370981187069,20932492819.19116,977685689.8255162,2021-05-09 02:00:00
39.4754067045649,20524013783.96639,892216906.0464505,2021-05-10 02:00:00
36.454616478099474,19013078262.77166,1183918067.8499138,2021-05-11 02:00:00
38.555430916027646,19963462059.02463,942658968.5069667,2021-05-12 02:00:00
37.40945146400453,20098489560.89826,2133706915.0563972,2021-05-13 02:00:00
37.51936038935535,19299424611.485252,1744373142.223216,2021-05-14 02:00:00
40.22544259508307,20911930977.554783,1045198452.0654036,2021-05-15 02:00:00
36.55976613318917,19080609069.71218,1294761149.773782,2021-05-16 02:00:00
36.43459798239508,18911255214.574574,1081920780.3901498,2021-05-17 02:00:00
33.18296109492979,17486595786.410786,1169372530.2762883,2021-05-18 02:00:00
35.231647792055035,18180660856.575863,1070183144.2233391,2021-05-19 02:00:00
23.625986818896006,12602366216.180325,2347113052.2678595,2021-05-20 02:00:00
26.30903252569058,13622752331.077631,1497329159.6214447,2021-05-21 02:00:00
21.781769473055505,11295503726.290405,1297490718.634286,2021-05-22 02:00:00
20.460067083643683,10639247156.097713,896183979.1636194,2021-05-23 02:00:00
16.913349979685155,8778467225.508617,1347195505.5785525,2021-05-24 02:00:00
24.579134515943508,12878834883.380674,1560905596.6696143,2021-05-25 02:00:00
25.129927338613786,13108865636.031528,1417237167.7640603,2021-05-26 02:00:00
29.256707236847536,15192076749.16924,1120612438.329353,2021-05-27 02:00:00
28.615899227629843,14836553003.975842,1048647538.733989,2021-05-28 02:00:00
25.932450370779268,13549096794.244926,1086783846.448085,2021-05-29 02:00:00
23.18797655591545,12177437998.951092,823387645.3608849,2021-05-30 02:00:00
