id,category,icon,name,description,feeDescription,tokenTicker,tokenCoingecko,website,blockchain,source,events,bundle,fees,shortName,protocolLaunch,subtitle,adapter,tokenLaunch,legacy,protocolShutdown,subcategory,tokenticker,tokencoingecko
eth,l1,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZlcnNpb249IjEuMSIgdmlld0JveD0iMCAwIDc4NC4zNyAxMjc3LjM5Ij4KIDxnPgogICA8Zz4KICAgIDxwb2x5Z29uIGZpbGw9IiMzNDM0MzQiIGZpbGwtcnVsZT0ibm9uemVybyIgcG9pbnRzPSIzOTIuMDcsMCAzODMuNSwyOS4xMSAzODMuNSw4NzMuNzQgMzkyLjA3LDg4Mi4yOSA3ODQuMTMsNjUwLjU0ICIvPgogICAgPHBvbHlnb24gZmlsbD0iIzhDOEM4QyIgZmlsbC1ydWxlPSJub256ZXJvIiBwb2ludHM9IjM5Mi4wNywwIC0wLDY1MC41NCAzOTIuMDcsODgyLjI5IDM5Mi4wNyw0NzIuMzMgIi8+CiAgICA8cG9seWdvbiBmaWxsPSIjM0MzQzNCIiBmaWxsLXJ1bGU9Im5vbnplcm8iIHBvaW50cz0iMzkyLjA3LDk1Ni41MiAzODcuMjQsOTYyLjQxIDM4Ny4yNCwxMjYzLjI4IDM5Mi4wNywxMjc3LjM4IDc4NC4zNyw3MjQuODkgIi8+CiAgICA8cG9seWdvbiBmaWxsPSIjOEM4QzhDIiBmaWxsLXJ1bGU9Im5vbnplcm8iIHBvaW50cz0iMzkyLjA3LDEyNzcuMzggMzkyLjA3LDk1Ni41MiAtMCw3MjQuODkgIi8+CiAgICA8cG9seWdvbiBmaWxsPSIjMTQxNDE0IiBmaWxsLXJ1bGU9Im5vbnplcm8iIHBvaW50cz0iMzkyLjA3LDg4Mi4yOSA3ODQuMTMsNjUwLjU0IDM5Mi4wNyw0NzIuMzMgIi8+CiAgICA8cG9seWdvbiBmaWxsPSIjMzkzOTM5IiBmaWxsLXJ1bGU9Im5vbnplcm8iIHBvaW50cz0iMCw2NTAuNTQgMzkyLjA3LDg4Mi4yOSAzOTIuMDcsNDcyLjMzICIvPgogICA8L2c+CiAgPC9nPgo8L3N2Zz4K",Ethereum,Ethereum is the first blockchain for turing-complete smart contracts.,Transaction fees are partially burnt and partially paid to miners.,ETH,ethereum,https://ethereum.org,Ethereum,CoinMetrics,"[{'date': '2021-08-05', 'description': 'London hard fork, including EIP-1559'}]",,"[{'date': '2022-06-22', 'fee': 3345240.9754193714}, {'date': '2022-06-21', 'fee': 4019776.873856551}, {'date': '2022-06-20', 'fee': 3135751.732110973}, {'date': '2022-06-19', 'fee': 3354994.877431815}, {'date': '2022-06-18', 'fee': 5004020.364070992}, {'date': '2022-06-17', 'fee': 4284854.1145356735}, {'date': '2022-06-16', 'fee': 4268294.985051301}]",,,,,,,,,,
bsc,l1,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZpZXdCb3g9IjAgMCAyNTAwLjAxIDI1MDAiPgogIDxwYXRoIGZpbGw9IiNmM2JhMmYiIGQ9Ik03NjQuNDgsMTA1MC41MiwxMjUwLDU2NWw0ODUuNzUsNDg1LjczLDI4Mi41LTI4Mi41TDEyNTAsMCw0ODIsNzY4bDI4Mi40OSwyODIuNU0wLDEyNTAsMjgyLjUxLDk2Ny40NSw1NjUsMTI0OS45NCwyODIuNDksMTUzMi40NVptNzY0LjQ4LDE5OS41MUwxMjUwLDE5MzVsNDg1Ljc0LTQ4NS43MiwyODIuNjUsMjgyLjM1LS4xNC4xNUwxMjUwLDI1MDAsNDgyLDE3MzJsLS40LS40LDI4Mi45MS0yODIuMTJNMTkzNSwxMjUwLjEybDI4Mi41MS0yODIuNTFMMjUwMCwxMjUwLjEsMjIxNy41LDE1MzIuNjFaIi8+CiAgPHBhdGggZmlsbD0iI2YzYmEyZiIgZD0iTTE1MzYuNTIsMTI0OS44NWguMTJMMTI1MCw5NjMuMTksMTAzOC4xMywxMTc1aDBsLTI0LjM0LDI0LjM1LTUwLjIsNTAuMjEtLjQuMzkuNC40MUwxMjUwLDE1MzYuODFsMjg2LjY2LTI4Ni42Ni4xNC0uMTYtLjI2LS4xNCIvPgo8L3N2Zz4K",Binance Smart Chain,"Binance Smart Chain is an inexpensive, EVM-compatible chain",Transaction fees are paid to validators,BNB,binancecoin,https://binance.org,BSC,Etherscan,,,"[{'date': '2022-06-22', 'fee': 558070.7883873571}, {'date': '2022-06-21', 'fee': 599203.9738485669}, {'date': '2022-06-20', 'fee': 578528.8028241715}, {'date': '2022-06-19', 'fee': 458531.6693714279}, {'date': '2022-06-18', 'fee': 604943.4351197166}, {'date': '2022-06-17', 'fee': 532839.3409126651}, {'date': '2022-06-16', 'fee': 631459.0511208413}]",BSC,2020-09-11,,,,,,,,
btc,l1,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZlcnNpb249IjEuMSIgdmlld0JveD0iMCAwIDQwOTEuMjcgNDA5MS43MyI+CiAgPGc+CiAgICA8cGF0aCBmaWxsPSIjRjc5MzFBIiBmaWxsLXJ1bGU9Im5vbnplcm8iIGQ9Ik00MDMwLjA2IDI1NDAuNzdjLTI3My4yNCwxMDk2LjAxIC0xMzgzLjMyLDE3NjMuMDIgLTI0NzkuNDYsMTQ4OS43MSAtMTA5NS42OCwtMjczLjI0IC0xNzYyLjY5LC0xMzgzLjM5IC0xNDg5LjMzLC0yNDc5LjMxIDI3My4xMiwtMTA5Ni4xMyAxMzgzLjIsLTE3NjMuMTkgMjQ3OSwtMTQ4OS45NSAxMDk2LjA2LDI3My4yNCAxNzYzLjAzLDEzODMuNTEgMTQ4OS43NiwyNDc5LjU3bDAuMDIgLTAuMDJ6Ii8+CiAgICA8cGF0aCBmaWxsPSJ3aGl0ZSIgZmlsbC1ydWxlPSJub256ZXJvIiBkPSJNMjk0Ny43NyAxNzU0LjM4YzQwLjcyLC0yNzIuMjYgLTE2Ni41NiwtNDE4LjYxIC00NTAsLTUxNi4yNGw5MS45NSAtMzY4LjggLTIyNC41IC01NS45NCAtODkuNTEgMzU5LjA5Yy01OS4wMiwtMTQuNzIgLTExOS42MywtMjguNTkgLTE3OS44NywtNDIuMzRsOTAuMTYgLTM2MS40NiAtMjI0LjM2IC01NS45NCAtOTIgMzY4LjY4Yy00OC44NCwtMTEuMTIgLTk2LjgxLC0yMi4xMSAtMTQzLjM1LC0zMy42OWwwLjI2IC0xLjE2IC0zMDkuNTkgLTc3LjMxIC01OS43MiAyMzkuNzhjMCwwIDE2Ni41NiwzOC4xOCAxNjMuMDUsNDAuNTMgOTAuOTEsMjIuNjkgMTA3LjM1LDgyLjg3IDEwNC42MiwxMzAuNTdsLTEwNC43NCA0MjAuMTVjNi4yNiwxLjU5IDE0LjM4LDMuODkgMjMuMzQsNy40OSAtNy40OSwtMS44NiAtMTUuNDYsLTMuODkgLTIzLjczLC01Ljg3bC0xNDYuODEgNTg4LjU3Yy0xMS4xMSwyNy42MiAtMzkuMzEsNjkuMDcgLTEwMi44Nyw1My4zMyAyLjI1LDMuMjYgLTE2My4xNywtNDAuNzIgLTE2My4xNywtNDAuNzJsLTExMS40NiAyNTYuOTggMjkyLjE1IDcyLjgzYzU0LjM1LDEzLjYzIDEwNy42MSwyNy44OSAxNjAuMDYsNDEuM2wtOTIuOSAzNzMuMDMgMjI0LjI0IDU1Ljk0IDkyIC0zNjkuMDdjNjEuMjYsMTYuNjMgMTIwLjcxLDMxLjk3IDE3OC45MSw0Ni40M2wtOTEuNjkgMzY3LjMzIDIyNC41MSA1NS45NCA5Mi44OSAtMzcyLjMzYzM4Mi44Miw3Mi40NSA2NzAuNjcsNDMuMjQgNzkxLjgzLC0zMDMuMDIgOTcuNjMsLTI3OC43OCAtNC44NiwtNDM5LjU4IC0yMDYuMjYsLTU0NC40NCAxNDYuNjksLTMzLjgzIDI1Ny4xOCwtMTMwLjMxIDI4Ni42NCwtMzI5LjYxbC0wLjA3IC0wLjA1em0tNTEyLjkzIDcxOS4yNmMtNjkuMzgsMjc4Ljc4IC01MzguNzYsMTI4LjA4IC02OTAuOTQsOTAuMjlsMTIzLjI4IC00OTQuMmMxNTIuMTcsMzcuOTkgNjQwLjE3LDExMy4xNyA1NjcuNjcsNDAzLjkxem02OS40MyAtNzIzLjNjLTYzLjI5LDI1My41OCAtNDUzLjk2LDEyNC43NSAtNTgwLjY5LDkzLjE2bDExMS43NyAtNDQ4LjIxYzEyNi43MywzMS41OSA1MzQuODUsOTAuNTUgNDY4Ljk0LDM1NS4wNWwtMC4wMiAweiIvPgogIDwvZz4KPC9zdmc+Cg==",Bitcoin,Bitcoin is the first decentralized cryptocurrency.,Transaction fees are paid by users to miners.,BTC,bitcoin,https://bitcoin.org,,CoinMetrics,,,"[{'date': '2022-06-22', 'fee': 329109.6394629799}, {'date': '2022-06-21', 'fee': 347263.1583953115}, {'date': '2022-06-20', 'fee': 316837.81311940966}, {'date': '2022-06-19', 'fee': 256947.032212715}, {'date': '2022-06-18', 'fee': 386025.6630544617}, {'date': '2022-06-17', 'fee': 451717.24345645466}, {'date': '2022-06-16', 'fee': 484508.8094285145}]",,,,,,,,,,
maker,lending,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZpZXdCb3g9IjAgMCA2MDAgNjAwIj4KICA8ZGVmcz4KICAgIDxzdHlsZT4uY2xzLTF7ZmlsbDp1cmwoI2xpbmVhci1ncmFkaWVudCk7fTwvc3R5bGU+CiAgICA8bGluZWFyR3JhZGllbnQgaWQ9ImxpbmVhci1ncmFkaWVudCIgeDE9IjMwMCIgeTE9IjYwMiIgeDI9IjMwMCIgeTI9IjIiIGdyYWRpZW50VHJhbnNmb3JtPSJtYXRyaXgoMSwgMCwgMCwgLTEsIDAsIDYwMikiIGdyYWRpZW50VW5pdHM9InVzZXJTcGFjZU9uVXNlIj48c3RvcCBvZmZzZXQ9IjAiIHN0b3AtY29sb3I9IiM0ZmE4OWIiLz48c3RvcCBvZmZzZXQ9IjEiIHN0b3AtY29sb3I9IiM2YWNlYmIiLz48L2xpbmVhckdyYWRpZW50PgogIDwvZGVmcz4KICAgIDxjaXJjbGUgY2xhc3M9ImNscy0xIiBjeD0iMzAwIiBjeT0iMzAwIiByPSIzMDAiLz4KICAgIDxwYXRoIGZpbGw9IiNmZmZmZmYiIGQ9Ik0xNTIuMzQsMzkwVjI0OC44bDEwNy4wOCw4MC41OVYzOTBoMjcuMzNWMzIzLjdBMTUuOTQsMTUuOTQsMCwwLDAsMjgwLjQsMzExTDE1MC41NCwyMTMuMjNBMTYsMTYsMCwwLDAsMTI1LDIyNlYzOTBabTI5Ni4xNCwwVjI0OC44TDM0MS40LDMyOS4zOVYzOTBIMzE0LjA3VjMyMy43QTE1Ljk0LDE1Ljk0LDAsMCwxLDMyMC40MiwzMTFsMTI5Ljg2LTk3LjczQTE2LDE2LDAsMCwxLDQ3NS44MiwyMjZWMzkwWiIvPgo8L3N2Zz4K",MakerDAO,MakerDAO is the protocol that issues the Dai stablecoin using loans.,Stability fees are accrued by borrowers and are used to buy & burn MKR.,MKR,maker,,Ethereum,The Graph Protocol,,,"[{'date': '2022-06-22', 'fee': 78395.045659714}, {'date': '2022-06-21', 'fee': 78386.85005756335}, {'date': '2022-06-20', 'fee': 78364.91431445732}, {'date': '2022-06-19', 'fee': 78448.46932550035}, {'date': '2022-06-18', 'fee': 79322.29475671156}, {'date': '2022-06-17', 'fee': 81032.21920371347}, {'date': '2022-06-16', 'fee': 83151.3206637822}]",,2019-11-15,,,,,,,,
arbitrum-one,l2,"data:image/svg+xml;base64,PHN2ZyB2ZXJzaW9uPSIxLjEiIHhtbG5zPSJodHRwOi8vd3d3LnczLm9yZy8yMDAwL3N2ZyIgdmlld0JveD0iMCAwIDQ3MC4yODcgNTE0LjI1MSI+DQoJPGc+DQoJCTxwYXRoIGZpbGw9IiMyRDM3NEIiIGQ9Ik0yOTEuMTM0LDIzNy40NjlsMzUuNjU0LTYwLjVsOTYuMTAzLDE0OS42ODRsMC4wNDYsMjguNzI3bC0wLjMxMy0xOTcuNjcyDQoJCQljLTAuMjI4LTQuODMyLTIuNzk0LTkuMjUyLTYuODg3LTExLjg1OUwyNDIuNzE1LDQ2LjMyNGMtNC4wNDUtMS45OS05LjE4LTEuOTY3LTEzLjIyLDAuMDYzYy0wLjU0NiwwLjI3Mi0xLjA2LDAuNTctMS41NDgsMC44OTUNCgkJCWwtMC42MDQsMC4zNzlMNTkuMzk5LDE0NC45ODNsLTAuNjUxLDAuMjk2Yy0wLjgzOCwwLjM4NS0xLjY4NiwwLjg3NS0yLjQ4LDEuNDQ0Yy0zLjE4NSwyLjI4My01LjI5OSw1LjY2LTUuOTgzLDkuNDQ4DQoJCQljLTAuMTAzLDAuNTc0LTAuMTc5LDEuMTU4LTAuMjE0LDEuNzQ5bDAuMjY0LDE2MS4wODNsODkuNTE1LTEzOC43NDVjMTEuMjcxLTE4LjM5NywzNS44MjUtMjQuMzIzLDU4LjYyLTI0LjAwMWwyNi43NTMsMC43MDYNCgkJCUw2Ny41ODgsNDA5Ljc2NWwxOC41ODIsMTAuNjk3TDI0NS42OTIsMTU3LjIybDcwLjUxLTAuMjU2TDE1Ny4wOTEsNDI2Ljg0OWw2Ni4zMDYsMzguMTM4bDcuOTIyLDQuNTU2DQoJCQljMy4zNTEsMS4zNjIsNy4zMDIsMS40MzEsMTAuNjgxLDAuMjFsMTc1LjQ1My0xMDEuNjc4bC0zMy41NDQsMTkuNDM4TDI5MS4xMzQsMjM3LjQ2OXogTTMwNC43MzYsNDMzLjM5NWwtNjYuOTY5LTEwNS4xMDgNCgkJCWw0MC44ODEtNjkuMzcxbDg3Ljk1MiwxMzguNjI4TDMwNC43MzYsNDMzLjM5NXoiLz4NCgkJPHBvbHlnb24gZmlsbD0iIzI4QTBGMCIgcG9pbnRzPSIyMzcuNzY4LDMyOC4yODYgMzA0LjczNiw0MzMuMzk1IDM2Ni42MDEsMzk3LjU0MyAyNzguNjQ4LDI1OC45MTUiLz4NCgkJPHBhdGggZmlsbD0iIzI4QTBGMCIgZD0iTTQyMi45MzcsMzU1LjM3OWwtMC4wNDYtMjguNzI3bC05Ni4xMDMtMTQ5LjY4NGwtMzUuNjU0LDYwLjVsOTIuNzc0LDE1MC4wNDNsMzMuNTQ0LTE5LjQzOA0KCQkJYzMuMjktMi42NzMsNS4yODEtNi41OTQsNS40OS0xMC44MjVMNDIyLjkzNywzNTUuMzc5eiIvPg0KCQk8cGF0aCBmaWxsPSIjRkZGRkZGIiBkPSJNMjAuMjE5LDM4Mi40NjlsNDcuMzY5LDI3LjI5NmwxNTcuNjM0LTI1Mi44MDFsLTI2Ljc1My0wLjcwNmMtMjIuNzk1LTAuMzIyLTQ3LjM1LDUuNjA0LTU4LjYyLDI0LjAwMQ0KCQkJTDUwLjMzNCwzMTkuMDA0bC0zMC4xMTUsNDYuMjcxVjM4Mi40Njl6Ii8+DQoJCTxwb2x5Z29uIGZpbGw9IiNGRkZGRkYiIHBvaW50cz0iMzE2LjIwMiwxNTYuOTY0IDI0NS42OTIsMTU3LjIyIDg2LjE3LDQyMC40NjIgMTQxLjkyOCw0NTIuNTY1IDE1Ny4wOTEsNDI2Ljg0OSIvPg0KCQk8cGF0aCBmaWxsPSIjOTZCRURDIiBkPSJNNDUyLjY1LDE1Ni42MDFjLTAuNTktMTQuNzQ2LTguNTc0LTI4LjI0NS0yMS4wOC0zNi4xMDRMMjU2LjI4LDE5LjY5Mg0KCQkJYy0xMi4zNzEtNi4yMjktMjcuODI1LTYuMjM3LTQwLjIxOC0wLjAwNGMtMS40NjUsMC43MzktMTcwLjQ2NSw5OC43NTItMTcwLjQ2NSw5OC43NTJjLTIuMzM5LDEuMTIyLTQuNTkyLDIuNDU4LTYuNzExLDMuOTc1DQoJCQljLTExLjE2NCw4LjAwMS0xNy45NjksMjAuNDM1LTE4LjY2OCwzNC4wOTV2MjA4Ljc2NWwzMC4xMTUtNDYuMjcxTDUwLjA3LDE1Ny45MjFjMC4wMzUtMC41ODksMC4xMDktMS4xNjksMC4yMTQtMS43NDENCgkJCWMwLjY4MS0zLjc5LDIuNzk3LTcuMTcxLDUuOTgzLTkuNDU2YzAuNzk1LTAuNTY5LDE3Mi42ODItMTAwLjA2NCwxNzMuMjI4LTEwMC4zMzdjNC4wNC0yLjAyOSw5LjE3NS0yLjA1MywxMy4yMi0wLjA2Mw0KCQkJbDE3My4wMjIsOTkuNTIzYzQuMDkzLDIuNjA3LDYuNjU5LDcuMDI3LDYuODg3LDExLjg1OXYxOTkuNTQyYy0wLjIwOSw0LjIzMS0xLjg4Miw4LjE1Mi01LjE3MiwxMC44MjVsLTMzLjU0NCwxOS40MzgNCgkJCWwtMTcuMzA4LDEwLjAzMWwtNjEuODY0LDM1Ljg1MmwtNjIuNzM3LDM2LjM1N2MtMy4zNzksMS4yMjEtNy4zMywxLjE1Mi0xMC42ODEtMC4yMWwtNzQuMjI4LTQyLjY5M2wtMTUuMTYzLDI1LjcxNw0KCQkJbDY2LjcwNiwzOC40MDZjMi4yMDYsMS4yNTUsNC4xNzEsMi4zNjcsNS43ODQsMy4yNzJjMi40OTcsMS40LDQuMTk5LDIuMzM3LDQuOCwyLjYyOWM0Ljc0MSwyLjMwMywxMS41NjMsMy42NDMsMTcuNzEsMy42NDMNCgkJCWM1LjYzNiwwLDExLjEzMi0xLjAzNSwxNi4zMzItMy4wNzJsMTgyLjIyNS0xMDUuNTMxYzEwLjQ1OS04LjEwNCwxNi42MTItMjAuMzI1LDE3LjE2Ni0zMy41NjRWMTU2LjYwMXoiLz4NCgk8L2c+DQo8L3N2Zz4NCg==",Arbitrum One,Arbitrum One is an optimistic-rollup scaling solution built on Ethereum.,Transaction fees are paid to sequencers.,,,https://arbitrum.io,Arbitrum One,The Graph Protocol,,,"[{'date': '2022-06-22', 'fee': 66343.51194077617}, {'date': '2022-06-21', 'fee': 42491.535246150364}, {'date': '2022-06-20', 'fee': 26271.522214042285}, {'date': '2022-06-19', 'fee': 32120.125434454054}, {'date': '2022-06-18', 'fee': 44524.891571321234}, {'date': '2022-06-17', 'fee': 41877.19647600307}, {'date': '2022-06-16', 'fee': 62153.81203888922}]",,2021-08-11,,,,,,,,
