gvkey,fqtr,fyearq,datadate,tic,atq,dlcq,piq,tcorq
003238,1,2022,2022/03/31,CBSH,34986.7930,2317.4610,151.9280,343.5510
003643,1,2020,2020/03/31,CFR,34147.3050,1170.9780,58.0760,369.9060
003643,2,2020,2020/06/30,CFR,39377.5530,1589.3840,91.7580,332.5950
003643,3,2020,2020/09/30,CFR,40101.2400,1608.6670,104.5720,334.7670
003643,4,2020,2020/12/31,CFR,42391.3170,2116.9970,96.9150,340.2320
003643,1,2021,2021/03/31,CFR,44046.7870,1923.4240,123.9120,339.8470
003643,2,2021,2021/06/30,CFR,46697.6730,2243.5890,133.1490,354.2810
003643,3,2021,2021/09/30,CFR,47860.3250,2227.2290,121.3080,345.4240
003643,4,2021,2021/12/31,CFR,50878.4900,2766.7240,111.1690,355.8760
003643,1,2022,2022/03/31,CFR,51296.0510,1877.8180,111.7290,357.6510
004640,1,2020,2020/03/31,FITB,185391.0000,6167.0000,60.0000,2217.0000
004640,2,2020,2020/06/30,FITB,202906.0000,1547.0000,244.0000,2032.0000
004640,3,2020,2020/09/30,FITB,201996.0000,1447.0000,747.0000,2000.0000
004640,4,2020,2020/12/31,FITB,204680.0000,4654.0000,746.0000,2089.0000
004640,1,2021,2021/03/31,FITB,206899.0000,1408.0000,883.0000,2050.0000
004640,2,2021,2021/06/30,FITB,205390.0000,1468.0000,911.0000,2052.0000
004640,3,2021,2021/09/30,FITB,207731.0000,1258.0000,895.0000,2130.0000
004640,4,2021,2021/12/31,FITB,211116.0000,2771.0000,828.0000,2106.0000
004640,1,2022,2022/03/31,FITB,211459.0000,1122.0000,612.0000,1988.0000
004674,1,2020,2020/03/31,RF,133542.0000,3150.0000,204.0000,1564.0000
004674,2,2020,2020/06/30,RF,144070.0000,0.0000,-261.0000,1635.0000
004674,3,2020,2020/09/30,RF,145180.0000,0.0000,634.0000,1711.0000
004674,4,2020,2020/12/31,RF,147389.0000,616.0000,737.0000,1741.0000
004674,1,2021,2021/03/31,RF,153331.0000,0.0000,822.0000,1653.0000
004674,2,2021,2021/06/30,RF,155610.0000,0.0000,1021.0000,1624.0000
004674,3,2021,2021/09/30,RF,156153.0000,0.0000,831.0000,1654.0000
004674,4,2021,2021/12/31,RF,162938.0000,0.0000,541.0000,1671.0000
004674,1,2022,2022/03/31,RF,164082.0000,0.0000,702.0000,1636.0000
004685,1,2020,2020/03/31,TRMK,14019.8290,506.0510,24.8250,185.6580
004685,2,2020,2020/06/30,TRMK,15692.0790,223.1150,37.6670,184.1640
004685,3,2020,2020/09/30,TRMK,15558.1620,332.4330,64.1890,188.0650
004685,4,2020,2020/12/31,TRMK,16551.8400,170.2230,63.1010,185.0410
004685,1,2021,2021/03/31,TRMK,16878.3130,299.4410,61.2390,170.0550
004685,2,2021,2021/06/30,TRMK,17098.1320,267.2140,56.6180,182.3360
004685,3,2021,2021/09/30,TRMK,17364.6440,234.4800,26.3560,157.8900
004685,4,2021,2021/12/31,TRMK,17595.6360,245.1080,31.2000,154.1400
004685,1,2022,2022/03/31,TRMK,17441.5510,249.0450,33.9060,157.8280
004690,1,2020,2020/03/31,FCNCA,41594.4530,540.3620,74.0850,465.1830
004690,2,2020,2020/06/30,FCNCA,47866.1940,740.2760,190.5650,450.3370
004690,3,2020,2020/09/30,FCNCA,48666.8730,693.8890,178.5270,476.1820
004690,4,2020,2020/12/31,FCNCA,49957.6800,651.4870,174.7050,479.4260
004690,1,2021,2021/03/31,FCNCA,53908.6060,680.7050,191.3490,466.7540
004690,2,2021,2021/06/30,FCNCA,55175.3180,692.6040,198.5680,468.4910
004690,3,2021,2021/09/30,FCNCA,56901.9770,663.5750,158.1330,473.3670
004690,4,2021,2021/12/31,FCNCA,58308.1400,671.8360,153.6110,483.2000
004690,1,2022,2022/03/31,FCNCA,108597.0000,616.0000,225.0000,1557.0000
004699,1,2020,2020/03/31,MTB,124577.8330,59.1800,349.7490,1670.5610
004699,2,2020,2020/06/30,MTB,139536.9690,52.2980,312.3680,1512.5460
004699,3,2020,2020/09/30,MTB,138626.7430,46.1230,486.8820,1518.9490
004699,4,2020,2020/12/31,MTB,142601.1050,1014.8450,620.5220,1588.5210
004699,1,2021,2021/03/31,MTB,150481.0600,58.9570,592.5490,1534.8420
004699,2,2021,2021/06/30,MTB,150622.7070,91.2350,605.6280,1494.6460
004699,3,2021,2021/09/30,MTB,151901.1940,103.5480,657.0420,1561.7810
004699,4,2021,2021/12/31,MTB,155107.1600,1045.4760,599.9300,1535.7290
004699,1,2022,2022/03/31,MTB,149863.5520,50.3070,475.3200,1469.8860
004723,1,2020,2020/03/31,USB,542909.0000,26344.0000,1439.0000,6591.0000
004723,2,2020,2020/06/30,USB,546652.0000,20595.0000,759.0000,6205.0000
004723,3,2020,2020/09/30,USB,540455.0000,13723.0000,1933.0000,6273.0000
004723,4,2020,2020/12/31,USB,553905.0000,20541.0000,1920.0000,5995.0000
004723,1,2021,2021/03/31,USB,553375.0000,12098.0000,2892.0000,5697.0000
004723,2,2021,2021/06/30,USB,558886.0000,13413.0000,2539.0000,5958.0000
004723,3,2021,2021/09/30,USB,567495.0000,16088.0000,2598.0000,6082.0000
004723,4,2021,2021/12/31,USB,573284.0000,18941.0000,2137.0000,5874.0000
004723,1,2022,2022/03/31,USB,586517.0000,21042.0000,1955.0000,5796.0000
004723,2,2022,2022/06/30,USB,591381.0000,24963.0000,1948.0000,6354.0000
004737,1,2020,2020/03/31,FHN,47197.3780,5325.2810,21.2390,553.0990
004737,2,2020,2020/06/30,FHN,48644.6590,2391.6970,69.4450,554.3860
004737,3,2020,2020/09/30,FHN,83029.5790,2141.7190,541.2480,1422.3040
004737,4,2020,2020/12/31,FHN,84209.0000,2198.0000,301.0680,866.2110
004737,1,2021,2021/03/31,FHN,87513.0000,2203.0000,307.0000,850.0000
004737,2,2021,2021/06/30,FHN,87908.0000,2246.0000,398.0000,816.0000
004737,3,2021,2021/09/30,FHN,88537.0000,2225.0000,298.0000,777.0000
004737,4,2021,2021/12/31,FHN,89092.0000,2124.0000,281.0000,778.0000
004737,1,2022,2022/03/31,FHN,88660.0000,1719.0000,255.0000,733.0000
005786,1,2020,2020/03/31,HBAN,113897.0000,2826.0000,58.0000,1336.0000
005786,2,2020,2020/06/30,HBAN,118425.0000,146.0000,181.0000,1294.0000
005786,3,2020,2020/09/30,HBAN,120116.0000,222.0000,358.0000,1322.0000
005786,4,2020,2020/12/31,HBAN,123038.0000,2057.0000,375.0000,1287.0000
005786,1,2021,2021/03/31,HBAN,125768.0000,219.0000,634.0000,1264.0000
005786,2,2021,2021/06/30,HBAN,175172.0000,391.0000,-1.0000,1369.0000
005786,3,2021,2021/09/30,HBAN,173878.0000,435.0000,468.0000,1740.0000
005786,4,2021,2021/12/31,HBAN,174064.0000,334.0000,490.0000,1698.0000
005786,1,2022,2022/03/31,HBAN,176856.0000,652.0000,567.0000,1694.0000
005849,1,2020,2020/03/31,BBX,1776.4960,0.0000,-36.6450,205.1460
005849,2,2020,2020/06/30,BBX,1671.3370,0.0000,-31.0240,94.8670
007647,1,2020,2020/03/31,BAC,2619954.0000,200161.0000,4531.0000,26420.0000
007647,2,2020,2020/06/30,BAC,2741688.0000,197022.0000,3799.0000,23956.0000
