date,totalLiquidityUSD
2020-02-13 00:00:00,56801.18768883834
2020-02-14 00:00:00,56649.167507723294
2020-02-15 00:00:00,1262893.111082069
2020-02-16 00:00:00,1372271.5189193063
2020-02-17 00:00:00,1844497.617859227
2020-02-18 00:00:00,2944404.7304687467
2020-02-19 00:00:00,4027126.3710681265
2020-02-20 00:00:00,4047024.497209899
2020-02-21 00:00:00,4072829.3014600794
2020-02-22 00:00:00,4755667.688650604
2020-02-23 00:00:00,5328024.805355709
2020-02-24 00:00:00,5583309.380450432
2020-02-25 00:00:00,6466664.93396844
2020-02-26 00:00:00,6945466.654701088
2020-02-27 00:00:00,7519237.270019337
2020-02-28 00:00:00,8220204.251514538
2020-02-29 00:00:00,7284799.481522779
2020-03-01 00:00:00,6567196.345299923
2020-03-02 00:00:00,6457100.08350466
2020-03-03 00:00:00,7848356.451169357
2020-03-04 00:00:00,7830814.7278795
2020-03-05 00:00:00,8525093.156582667
2020-03-06 00:00:00,8311253.069091116
2020-03-07 00:00:00,8440198.104685655
2020-03-08 00:00:00,8974346.477238908
2020-03-09 00:00:00,9078056.514476161
2020-03-10 00:00:00,9095786.14421334
2020-03-11 00:00:00,9202388.953927495
2020-03-12 00:00:00,9633066.042002458
2020-03-13 00:00:00,9738954.87232017
2020-03-14 00:00:00,8450309.191281587
2020-03-15 00:00:00,9303864.721833486
2020-03-16 00:00:00,10649640.692368897
2020-03-17 00:00:00,11406898.726593861
2020-03-18 00:00:00,10918265.463914782
2020-03-19 00:00:00,10803894.280213227
2020-03-20 00:00:00,10463126.990338748
2020-03-21 00:00:00,10544581.009622177
2020-03-22 00:00:00,10455750.693180548
2020-03-23 00:00:00,10523373.938372847
2020-03-24 00:00:00,9974852.743725268
2020-03-25 00:00:00,9893286.329499543
2020-03-26 00:00:00,10057156.420698585
2020-03-27 00:00:00,9909858.155692598
2020-03-28 00:00:00,9958540.197403992
2020-03-29 00:00:00,9940892.579995671
2020-03-30 00:00:00,9842692.095043778
2020-03-31 00:00:00,9718440.935394598
2020-04-01 00:00:00,9698147.445030998
2020-04-02 00:00:00,9693236.928506767
2020-04-03 00:00:00,9682458.671443691
2020-04-04 00:00:00,9845012.439272068
2020-04-05 00:00:00,9892515.278156001
2020-04-06 00:00:00,9975566.905120414
2020-04-07 00:00:00,9965474.246052578
2020-04-08 00:00:00,10288989.599434385
2020-04-09 00:00:00,10429084.821071876
2020-04-10 00:00:00,10260213.340262778
2020-04-11 00:00:00,11129639.195328148
2020-04-12 00:00:00,10662376.917703606
2020-04-13 00:00:00,10743121.548381917
2020-04-14 00:00:00,10791076.704798607
2020-04-15 00:00:00,11052070.21304745
2020-04-16 00:00:00,11202978.267175458
2020-04-17 00:00:00,11100581.658324184
2020-04-18 00:00:00,11395287.113728903
2020-04-19 00:00:00,11718677.57123755
2020-04-20 00:00:00,11875551.308926966
2020-04-21 00:00:00,9998008.462335275
2020-04-22 00:00:00,9140985.779556422
2020-04-23 00:00:00,9014546.727925178
2020-04-24 00:00:00,7931260.209258683
2020-04-25 00:00:00,2635055.57097506
2020-04-26 00:00:00,2518463.907272358
2020-04-27 00:00:00,2770545.3168103187
2020-04-28 00:00:00,2767306.6067989203
2020-04-29 00:00:00,2764636.3674174463
2020-04-30 00:00:00,2752298.952617048
2020-05-01 00:00:00,2775942.864256055
2020-05-02 00:00:00,2129582.3418385764
2020-05-03 00:00:00,2217980.689211283
2020-05-04 00:00:00,2074600.0727192143
2020-05-05 00:00:00,2144053.672267336
2020-05-06 00:00:00,2147958.964806723
2020-05-07 00:00:00,2176027.6458729473
2020-05-08 00:00:00,2137596.784621887
2020-05-09 00:00:00,2097738.992363666
2020-05-10 00:00:00,2086355.2913570679
2020-05-11 00:00:00,2116015.041417502
2020-05-12 00:00:00,2074695.3589848706
2020-05-13 00:00:00,2016423.5480834253
2020-05-14 00:00:00,1966849.6189631291
2020-05-15 00:00:00,2114610.5970990295
2020-05-16 00:00:00,2787996.0446015513
2020-05-17 00:00:00,2726574.860486342
2020-05-18 00:00:00,2729991.53893581
2020-05-19 00:00:00,2727473.5563963414
2020-05-20 00:00:00,2724326.097385773
2020-05-21 00:00:00,2698828.6171969906
2020-05-22 00:00:00,2840911.3511782996
2020-05-23 00:00:00,2816772.031306233
2020-05-24 00:00:00,2807062.9793475266
2020-05-25 00:00:00,2574268.424426411
2020-05-26 00:00:00,2569074.508993534
2020-05-27 00:00:00,2564805.4356946796
2020-05-28 00:00:00,2570502.8152312827
2020-05-29 00:00:00,2591174.73954174
2020-05-30 00:00:00,2580004.6096851635
2020-05-31 00:00:00,2580558.4361052695
2020-06-01 00:00:00,2559194.322629221
2020-06-02 00:00:00,2536504.847770279
2020-06-03 00:00:00,2512357.4962958614
2020-06-04 00:00:00,2521815.94714655
2020-06-05 00:00:00,2499630.9978393936
2020-06-06 00:00:00,2504326.3863147427
2020-06-07 00:00:00,2501323.4313098467
2020-06-08 00:00:00,2488228.14550027
2020-06-09 00:00:00,2495336.012670855
2020-06-10 00:00:00,2493158.398796718
2020-06-11 00:00:00,2485045.3219529246
2020-06-12 00:00:00,2580782.795228944
2020-06-13 00:00:00,2518445.322747676
2020-06-14 00:00:00,2545023.3285496323
2020-06-15 00:00:00,2533566.4098340888
2020-06-16 00:00:00,2511926.8429157916
2020-06-17 00:00:00,2522212.076265552
2020-06-18 00:00:00,2772878.755267324
2020-06-19 00:00:00,2795743.9888479873
2020-06-20 00:00:00,3241325.917492801
2020-06-21 00:00:00,4737102.069988243
2020-06-22 00:00:00,14652063.555809835
2020-06-23 00:00:00,16923136.205459207
2020-06-24 00:00:00,13479326.52667057
2020-06-25 00:00:00,11153229.836485686
2020-06-26 00:00:00,10387657.192793643
2020-06-27 00:00:00,9098165.385965146
2020-06-28 00:00:00,8481515.595293613
2020-06-29 00:00:00,8615422.471056264
2020-06-30 00:00:00,7841758.124739389
2020-07-01 00:00:00,7423713.25562359
2020-07-02 00:00:00,6587292.155738785
2020-07-03 00:00:00,6452667.559084461
2020-07-04 00:00:00,6622405.408556264
2020-07-05 00:00:00,6669494.5850447
2020-07-06 00:00:00,6620377.595949178
2020-07-07 00:00:00,6732717.572410666
2020-07-08 00:00:00,6751168.684368014
2020-07-09 00:00:00,6755805.749642009
2020-07-10 00:00:00,7291995.658909098
2020-07-11 00:00:00,7374826.9773857705
2020-07-12 00:00:00,7292134.085922565
2020-07-13 00:00:00,7326476.660173792
2020-07-14 00:00:00,7262830.791454541
2020-07-15 00:00:00,7174588.283440608
2020-07-16 00:00:00,8051044.9881194085
2020-07-17 00:00:00,8058140.394339525
2020-07-18 00:00:00,8047123.825583689
2020-07-19 00:00:00,9508260.154305827
2020-07-20 00:00:00,62754912.58608252
